Date,portfolio_value,benchmark_^GSPC
2025-06-13,103169.47066020966,97696.40130799983
2025-06-16,103396.74852514267,98614.03037856454
2025-06-17,103370.01790475845,97790.38777393968
2025-06-18,103276.34292507172,97760.14705387801
2025-06-19,103373.27899456024,
2025-06-20,103205.16830062866,97547.16107985702
2025-06-23,103852.00796175003,98484.24828594836
2025-06-24,103581.07628774643,99579.56253749295
2025-06-25,103214.8733830452,99579.2353087987
2025-06-26,103730.85147047043,100377.87285246995
2025-06-27,103622.30477428436,100901.74204840753
2025-06-30,104159.39532756805,101422.84177222542
2025-07-01,,101309.39717075895
2025-07-02,103895.94386196136,101790.120066181
2025-07-03,104440.28003549576,102638.94331788806
2025-07-04,104536.12856864929,
2025-07-07,104123.66529941559,101831.96543310717
2025-07-08,103887.5932841301,101759.06526497753
2025-07-09,104308.89870023727,102375.9392407722
2025-07-10,104340.5261836052,102657.08455744998
2025-07-11,104114.41205883026,102318.57046383811
2025-07-14,104576.21018362045,102462.57503287285
2025-07-15,103961.34651231766,102057.20253019352
2025-07-16,104116.46962356567,102383.13827204579
2025-07-17,104891.3961853981,102933.32144371398
2025-07-18,104669.11381053925,102924.00739770924
2025-07-21,104635.69243192673,103068.01196674397
2025-07-22,105047.03981494904,103133.7210847877
2025-07-23,105392.3481349945,103939.39005479157
2025-07-24,105282.84239578247,104011.96299422697
2025-07-25,105881.17255115509,104425.340628134
2025-07-28,105640.27690505981,104443.80909639019
2025-07-29,106314.04174184799,104134.71366051052
2025-07-30,105315.21570396423,104004.60433920007
2025-07-31,105009.11761331558,103620.32611551863
2025-08-01,103715.55293416977,101963.21606425366
2025-08-04,,103465.85820945546
2025-08-05,105525.09621047974,102963.23493508139
2025-08-06,106394.33081912994,103713.00366668148
2025-08-07,105561.01574277878,103630.2946189119
2025-08-08,105310.65347766876,104438.5814184698
2025-08-11,105656.62217664719,104177.0538610719
2025-08-12,106041.03410625458,105358.98794234183
2025-08-13,106221.44312429428,105699.30578436593
2025-08-14,106119.0439414978,105731.34227165216
2025-08-15,106077.93070459366,105425.0242890798
2025-08-18,106385.75769662857,105414.40132829804
2025-08-19,106011.5507388115,104796.87289511487
